time,Fp,Fc
10:14:15.214,121.2,125.91769697289
10:14:15.245,133.2,125.318161831938
10:14:15.357,133.6,125.085551850382
10:14:15.457,121.2,125.913357311653
10:14:15.515,132.0,126.445151774193
10:14:15.655,126.4,124.542676779788
10:14:15.697,120.8,125.422241932508
10:14:15.781,122.8,122.522794001737
10:14:15.876,119.2,119.597426825565
10:14:15.935,121.6,124.338970537232
10:14:15.963,116.0,117.811273874528
10:14:16.043,124.0,122.881198375484
10:14:16.043,124.0,122.881188429799
10:14:16.120,133.2,125.490824256419
10:14:16.173,121.6,124.889592670652
10:14:16.203,133.2,124.302670723011
10:14:16.285,128.4,124.390110425404
10:14:16.364,133.6,125.59755271797
10:14:16.432,121.2,122.93786265033
10:14:16.443,133.6,124.816929870665
10:14:16.519,133.6,124.400156036452
10:14:16.597,124.8,123.34788290317
10:14:16.677,126.4,123.144306912853
10:14:16.701,120.8,124.449271881173
10:14:16.757,133.6,124.134268779121
10:14:16.838,133.6,124.350256384881
10:14:16.920,132.0,126.707739054237
10:14:16.966,122.0,123.879350424036
10:14:17.016,134.0,126.558335299662
10:14:17.152,133.6,125.294094810686
10:14:17.227,120.0,122.338120467536
10:14:17.292,133.6,124.408356175148
10:14:30.318,135.6,126.469994716929
10:14:30.432,122.0,123.977356494976
10:14:30.527,124.0,124.782586109714
10:14:30.617,124.0,124.598893299414
10:14:30.709,124.4,125.249755969678
10:14:30.792,124.8,126.076603792402
10:14:30.871,125.2,125.552033201071
10:14:30.949,125.2,125.555382216276
10:14:31.029,124.4,124.630769071968
10:14:31.103,127.2,127.55974814875
10:14:31.170,124.0,126.62535848001
10:14:31.236,125.6,125.91781477012
10:14:31.304,125.2,125.958028902495
10:14:31.371,124.4,125.025685304537
10:14:31.438,120.8,124.820961675993
10:14:31.508,122.8,123.637797186427
10:14:31.586,121.6,125.779547299677
10:14:31.670,126.0,125.053418921125
10:14:31.759,121.6,127.686501265628
10:14:31.854,121.2,124.249312199905
10:14:31.955,136.4,127.118531478705
10:14:32.054,136.0,126.96704050871
10:14:32.150,136.0,125.872575732134
10:14:32.246,136.0,127.000579527577
10:14:32.344,136.0,128.00368730978
10:14:32.440,136.4,127.949199401584
10:14:32.536,136.0,128.96632616219
10:14:32.633,135.6,128.497444043048
10:14:32.730,136.0,128.34566095082
10:14:32.835,136.0,127.89614344716
10:14:32.948,136.0,128.678769184849
10:14:33.070,136.0,129.576061014481
10:14:33.187,136.0,127.573682999306
10:14:33.294,136.4,127.482435686571
10:14:33.401,135.6,129.361045707365
10:14:33.505,135.6,130.090669961361
10:14:33.606,136.0,127.572791253112
10:14:33.708,136.0,128.878011699547
10:14:33.812,136.0,128.170457398443
10:14:33.916,135.6,128.725005783028
10:14:34.022,136.4,128.455649250574
10:14:34.129,135.6,127.83993654526
10:14:34.232,136.4,128.516166534599
10:14:34.335,136.0,128.371919553437
10:14:34.436,136.0,126.32122902351
10:14:34.535,135.6,128.258294614116
10:14:34.632,122.8,122.137762167153
10:14:34.730,117.6,118.652526582731
10:14:34.829,120.8,120.204318229758
10:14:34.932,135.6,127.727076194755
10:14:35.035,136.0,128.395783529364
10:14:35.140,136.0,127.91704605071
10:14:35.240,136.0,126.931271436527
10:14:35.336,136.0,127.630437152202
10:14:35.435,136.0,128.172141524638
10:14:35.532,136.4,126.731582578175
10:14:35.627,136.0,127.374481890187
10:14:35.724,136.4,127.492652340817
10:14:35.821,121.6,123.154840385683
10:14:35.916,135.2,130.074196660417
10:14:36.002,117.2,121.884595036425
10:14:36.078,124.8,124.495606642234
10:14:36.148,124.0,124.580658975216
10:14:36.212,121.6,125.355989425796
10:14:36.274,122.0,125.932524069208
10:14:36.333,125.6,126.242006169491
10:14:36.392,127.2,127.291544341818
10:14:36.448,127.2,127.169120534779
10:14:36.506,127.2,126.802041345779
10:14:36.567,127.2,126.229289975857
10:14:36.629,127.2,126.116008750976
10:14:36.693,127.2,126.293347084927
10:14:36.758,126.8,126.112883363752
10:14:36.824,126.8,126.156876505377
10:14:36.890,125.6,125.947561205034
10:14:36.955,124.8,126.744759765336
10:14:37.020,127.2,127.505516596274
10:14:37.087,126.4,126.859424019046
10:14:37.157,126.8,127.173440887556
10:14:37.232,126.8,126.215846064044
10:14:37.316,126.4,126.715982200176
10:14:37.402,126.0,126.157892172254
10:14:38.524,123.2,123.614182519335
10:14:38.565,123.6,122.15823772443
10:14:38.611,123.6,123.796801230309
10:14:38.665,124.0,124.509783265163
10:14:38.726,124.4,124.778654302674
10:14:38.788,124.0,124.47213888989
10:14:38.853,126.0,125.086435797816
10:14:38.921,124.8,125.303612548804
10:14:38.995,124.8,125.167145216798
10:14:39.073,124.8,125.152883413632
10:14:39.155,126.0,124.905584806658
10:14:39.240,124.8,125.163334854249
10:14:54.338,122.4,122.775057490281
10:14:54.515,122.8,122.784770901444
10:14:54.527,122.0,121.79645631965
10:14:54.636,122.0,122.61248738857
10:14:54.720,121.6,121.217258750275
10:14:54.766,123.2,123.474456091887
10:14:54.903,124.0,124.047782194435
10:14:54.934,122.0,122.396952119618
10:14:55.051,123.6,124.095443961411
10:14:55.159,122.8,123.52055226587
10:14:55.199,124.0,124.50118416136
10:14:55.341,124.0,123.995296903294
10:14:55.361,122.8,123.880494648145
10:14:55.479,124.0,124.145683632894
10:14:55.569,124.8,125.162134926896
10:14:55.618,124.0,124.328309085345
10:14:55.761,124.8,124.740263920213
10:14:55.768,123.2,124.377939913932
10:14:55.906,123.6,124.385468931045
10:14:55.983,122.4,119.595830716918
10:14:56.054,124.8,124.888116515167
10:14:56.193,122.4,120.683431671023
10:14:56.197,124.4,124.451941741443
10:14:56.341,122.0,122.572119569767
10:14:56.355,124.4,124.689260446397
10:14:56.528,124.4,124.309621202465
10:14:56.528,124.8,124.919957276977
10:14:56.706,124.0,124.136030363056
10:14:56.725,124.8,124.779525065029
10:14:56.890,126.4,130.419044837392
10:14:56.898,122.8,123.45043448777
10:14:57.042,121.6,122.405850147902
10:14:57.097,122.8,122.649596621966
10:14:57.196,122.4,122.412957084372
10:14:57.326,123.2,123.897067925656
10:14:57.356,120.0,120.660369813649
10:14:57.499,122.8,123.123305275911
10:14:57.528,122.4,123.11103670957
