id,label,depth
134,Kogia-A,552.69
135,Kogia-A,552.68
136,Kogia-A,552.61
137,Kogia-A,552.61
138,Kogia-A,552.61
139,Kogia-A,552.61
140,Kogia-A,552.57
141,Kogia-A,552.57
142,Kogia-A,552.55
143,Kogia-A,552.59
144,Kogia-A,552.6
145,Kogia-A,552.6
146,Kogia-A,552.55
147,Kogia-A,552.49
148,Kogia-A,552.49
149,Kogia-A,552.54
150,Kogia-A,552.47
151,Kogia-A,552.5
152,Kogia-A,552.49
153,Kogia-A,552.39
154,Kogia-A,552.42
155,Kogia-A,552.41
156,Kogia-A,552.33
157,Kogia-A,552.3
158,Kogia-A,552.32
159,Kogia-A,552.25
160,Kogia-A,552.24
161,Kogia-A,552.21
162,Kogia-A,552.27
163,Kogia-A,552.23
164,Kogia-A,552.16
165,Kogia-A,551.58
166,Kogia-A,551.63
167,Kogia-A,551.63
168,Kogia-A,551.63
169,Kogia-A,551.62
170,Kogia-A,551.6
171,Kogia-A,551.56
172,Kogia-A,551.59
173,Kogia-A,551.56
174,Kogia-A,551.5
175,Kogia-A,551.54
176,Kogia-A,551.47
177,Kogia-A,551.53
178,Kogia-A,551.49
179,Kogia-A,551.47
180,Kogia-A,551.47
181,Kogia-A,551.43
182,Kogia-A,551.4
183,Kogia-A,551.45
